County,State,Obama,Romney
Falls Church ,virginia,69.1,29.6
Fauquier ,virginia,39.3,59.3
Floyd ,virginia,35.8,61.3
Fluvanna ,virginia,46.3,52.5
Franklin ,virginia,34.1,62.6
Franklin City ,virginia,65,34.4
Frederick ,virginia,35,63
Fredericksburg ,virginia,62.4,35.6
Galax ,virginia,39.6,58.6
Giles ,virginia,36.2,61.8
Gloucester ,virginia,35.1,63.1
Goochland ,virginia,35.2,63.6
Grayson ,virginia,29.3,67.2
Greene ,virginia,36.5,61.8
Greensville ,virginia,63.7,35.9
Halifax ,virginia,46.6,52.2
Hampton ,virginia,72.1,26.8
Hanover ,virginia,31,67.7
Harrisonburg ,virginia,55.7,42.2
Henrico ,virginia,55.3,43.6
Henry ,virginia,41.4,56.1
Highland ,virginia,32.5,65.5
Hopewell ,virginia,57.5,41.5
Isle of Wight ,virginia,42.1,56.8
James City ,virginia,43.4,55.5
King and Queen ,virginia,47.8,51.1
King George ,virginia,39.7,58.5
King William ,virginia,37.5,61.4
Lancaster ,virginia,44.6,53.2
Lee ,virginia,27,71.4
Lexington ,virginia,55.4,42.8
Loudoun ,virginia,51.6,47.1
Louisa ,virginia,42.4,56.1
Lunenburg ,virginia,46.9,51.9
Lynchburg ,virginia,43.9,54.5
Madison ,virginia,40,58.6
Manassas ,virginia,55.9,42.6
Manassas Park ,virginia,62.1,36.7
Martinsville ,virginia,61.4,36.8
Mathews ,virginia,33.7,65
Mecklenburg ,virginia,45.8,53
Middlesex ,virginia,39.1,59.7
Montgomery ,virginia,48.6,48.9
Nelson ,virginia,50.7,48
New Kent ,virginia,32.5,66.2
Newport News ,virginia,64.4,34.4
Norfolk ,virginia,71.4,27.4
Northampton ,virginia,57.7,41.3
Northumberland ,virginia,42.2,57.1
Norton ,virginia,38.1,60.2
Nottoway ,virginia,48.9,49.8
Orange ,virginia,42.1,56.6
Page ,virginia,36.5,62.2
Patrick ,virginia,29.3,68.2
Petersburg ,virginia,90,9.6
Pittsylvania ,virginia,35.5,63
Poquoson ,virginia,23.7,74.8
Portsmouth ,virginia,69.3,29.6
Powhatan ,virginia,26.3,72.4
Prince Edward ,virginia,55.6,42.8
Prince George ,virginia,44.7,54.4
Prince William ,virginia,57.4,41.4
Pulaski ,virginia,36.1,60.8
Radford ,virginia,50.8,46.8
Rappahannock ,virginia,45.5,53.3
Richmond ,virginia,41.8,57.3
Richmond City ,virginia,77.1,21.4
Roanoke ,virginia,36.4,62
Roanoke City ,virginia,59.2,37.7
Rockbridge ,virginia,40.2,58.1
Rockingham ,virginia,28.9,69.5
Russell ,virginia,30.8,67.8
Salem ,virginia,38.8,59.4
Scott ,virginia,24,74.7
Shenandoah ,virginia,33.5,64.9
Smyth ,virginia,32.7,65.7
Southampton ,virginia,47.9,51.1
Spotsylvania ,virginia,43.5,55.1
Stafford ,virginia,45,53.7
Staunton ,virginia,51.2,47.1
Suffolk ,virginia,57.1,41.9
Surry ,virginia,59.8,38.8
Sussex ,virginia,61.8,37.3
Tazewell ,virginia,20.7,78.2
Virginia Beach ,virginia,48.1,50.6
Warren ,virginia,38.8,59.3
Washington ,virginia,27.7,70.9
Waynesboro ,virginia,43.7,54.6
Westmoreland ,virginia,47.8,47.4
Williamsburg ,virginia,63.5,34.7
Winchester ,virginia,49.6,48.2
Wise ,virginia,25.1,73.9
Wythe ,virginia,30.7,67.5
York ,virginia,38.9,59.6
Adams ,washington,32.2,66.1
Asotin ,washington,40.4,57.1
Benton ,washington,35.3,62.3
Chelan ,washington,40.6,57.2
Clallam ,washington,48.8,48.5
Clark ,washington,48.9,48.8
Columbia ,washington,28.5,69.5
Cowlitz ,washington,51,46.5
Douglas ,washington,34.4,63.3
Ferry ,washington,37.6,58
Franklin ,washington,37.3,60.5
Garfield ,washington,26.3,71.5
Grant ,washington,32.4,64.9
Grays Harbor ,washington,55.6,41.6
Island ,washington,51,46.6
Jefferson ,washington,64,32.7
King ,washington,68.8,28.9
Kitsap ,washington,54.4,43.1
Kittitas ,washington,42.6,55.3
Klickitat ,washington,44.3,52.1
Lewis ,washington,37.1,60.6
Lincoln ,washington,28.4,69.3
Mason ,washington,52.2,45.3
Okanogan ,washington,41.1,56
Pacific ,washington,54.3,42.8
Pend Oreille ,washington,37.6,59.3
Pierce ,washington,54.3,43.4
San Juan ,washington,67.1,29.6
Skagit ,washington,51.8,45.7
Skamania ,washington,48,49.3
Snohomish ,washington,56.9,40.6
Spokane ,washington,45.6,51.7
Stevens ,washington,34.9,62.3
Thurston ,washington,58.1,39.1
Wahkiakum ,washington,47.7,48.8
Walla Walla ,washington,38.1,59.5
Whatcom ,washington,54.6,42.5
Whitman ,washington,46.5,50.2
Yakima ,washington,42,56.1
Barbour ,west virginia,30.7,66.4
Berkeley ,west virginia,38.4,59.7
Boone ,west virginia,32.9,64.2
Braxton ,west virginia,41.7,56.6
Brooke ,west virginia,43.2,54.4
Cabell ,west virginia,42.1,56
Calhoun ,west virginia,37.1,59.7
Clay ,west virginia,30.8,65.5
Doddridge ,west virginia,20.8,76.9
Fayette ,west virginia,38.4,59.4
Gilmer ,west virginia,33.4,63.7
Grant ,west virginia,15.6,82.6
Greenbrier ,west virginia,36.4,61.2
Hampshire ,west virginia,28.8,69.2
Hancock ,west virginia,38.1,59.7
Hardy ,west virginia,28.7,68.4
Harrison ,west virginia,37.2,60.7
Jackson ,west virginia,33.4,64.2
Jefferson ,west virginia,46.9,50.9
Kanawha ,west virginia,43.2,55.1
Lewis ,west virginia,27.5,69.7
Lincoln ,west virginia,32.7,64.3
Logan ,west virginia,29.1,68.8
Marion ,west virginia,41.6,55.9
Marshall ,west virginia,34.5,63
Mason ,west virginia,38.5,58.7
McDowell ,west virginia,34,64.1
Mercer ,west virginia,25.5,72.6
Mineral ,west virginia,26.3,71.3
Mingo ,west virginia,27.5,70.1
Monongalia ,west virginia,43.9,53.5
Monroe ,west virginia,28,69.3
Morgan ,west virginia,33.6,64.1
Nicholas ,west virginia,30.4,67.1
Ohio ,west virginia,37.8,60.3
Pendleton ,west virginia,33.1,64.7
Pleasants ,west virginia,33.6,64.3
Pocahontas ,west virginia,36.5,61
Preston ,west virginia,26.3,70.7
Putnam ,west virginia,30.6,67.8
Raleigh ,west virginia,26.8,71.5
Randolph ,west virginia,34.2,63.2
Ritchie ,west virginia,20.3,77.1
Roane ,west virginia,38.4,59.1
Summers ,west virginia,34.2,63
Taylor ,west virginia,32.8,65
Tucker ,west virginia,28.1,69.3
Tyler ,west virginia,27.1,70.6
Upshur ,west virginia,26.2,71.7
Wayne ,west virginia,35.3,62.3
Webster ,west virginia,34.2,62.2
Wetzel ,west virginia,37.8,59.4
Wirt ,west virginia,31.1,65.7
Wood ,west virginia,32.9,65.4
Wyoming ,west virginia,21,76.7
Adams ,wisconsin,54,45.2
Ashland ,wisconsin,64.6,33.8
Barron ,wisconsin,48.2,50.5
Bayfield ,wisconsin,61.7,36.9
Brown ,wisconsin,48.6,50.4
Buffalo ,wisconsin,50.9,47.8
Burnett ,wisconsin,46.1,52.6
Calumet ,wisconsin,43.6,55.1
Chippewa ,wisconsin,49.2,49.7
Clark ,wisconsin,44.9,53.8
Columbia ,wisconsin,56.3,42.7
Crawford ,wisconsin,59.3,39.3
Dane ,wisconsin,71.1,27.6
Dodge ,wisconsin,42.2,56.8
Door ,wisconsin,53,46.1
Douglas ,wisconsin,65,33.7
Dunn ,wisconsin,51.6,46.6
Eau Claire ,wisconsin,56.1,42.5
Florence ,wisconsin,36.4,62.8
Fond du Lac ,wisconsin,42,56.9
Forest ,wisconsin,52.1,46.8
Grant ,wisconsin,56.2,42.4
Green ,wisconsin,58,40.7
Green Lake ,wisconsin,39.2,59.8
Iowa ,wisconsin,64.7,34.4
Iron ,wisconsin,49.3,49.4
Jackson ,wisconsin,57,42
Jefferson ,wisconsin,45.6,53.2
Juneau ,wisconsin,52.9,45.8
Kenosha ,wisconsin,55.6,43.3
Kewaunee ,wisconsin,46.8,52.2
La Crosse ,wisconsin,58,40.7
Lafayette ,wisconsin,57.2,41.8
Langlade ,wisconsin,43.6,55.4
Lincoln ,wisconsin,49.8,49.1
Manitowoc ,wisconsin,48,50.8
Marathon ,wisconsin,46.4,52.5
Marinette ,wisconsin,47.6,51.2
Marquette ,wisconsin,51.8,47.3
Menominee ,wisconsin,86.6,13
Milwaukee ,wisconsin,66.8,32.3
Monroe ,wisconsin,49,49.7
Oconto ,wisconsin,44.7,54.2
Oneida ,wisconsin,48.4,50.5
Outagamie ,wisconsin,48.4,50.2
Ozaukee ,wisconsin,34.3,64.8
Pepin ,wisconsin,50.7,48.5
Pierce ,wisconsin,48.8,49.6
Polk ,wisconsin,44.7,53.7
Portage ,wisconsin,56.3,42.4
Price ,wisconsin,49.3,49.3
Racine ,wisconsin,51.4,47.8
Richland ,wisconsin,57.5,41.4
Rock ,wisconsin,61.1,37.9
Rusk ,wisconsin,47.3,51.2
Sauk ,wisconsin,58.8,40.3
Sawyer ,wisconsin,49.8,49.3
Shawano ,wisconsin,44.5,54.5
Sheboygan ,wisconsin,44.8,54.2
St. Croix ,wisconsin,43.2,55.4
Taylor ,wisconsin,39.6,59
Trempealeau ,wisconsin,56.5,42.4
Vernon ,wisconsin,56.5,41.8
Vilas ,wisconsin,43,56.1
Walworth ,wisconsin,43.2,55.6
Washburn ,wisconsin,48,50.8
Washington ,wisconsin,29.5,69.6
Waukesha ,wisconsin,32.2,67
Waupaca ,wisconsin,44.8,54.2
Waushara ,wisconsin,44.4,54.6
Winnebago ,wisconsin,51.1,47.4
Wood ,wisconsin,47.8,50.8
Albany ,wyoming,46.4,48.9
Big Horn ,wyoming,16.5,81.1
Campbell ,wyoming,12.4,85.6
Carbon ,wyoming,32.6,64.3
Converse ,wyoming,17.3,80.2
Crook ,wyoming,11.6,85
Fremont ,wyoming,31.7,65.8
Goshen ,wyoming,25.3,72.6
Hot Springs ,wyoming,21,75.9
Johnson ,wyoming,17.8,79.7
Laramie ,wyoming,36.3,61.1
Lincoln ,wyoming,15,83.3
Natrona ,wyoming,28,69
Niobrara ,wyoming,15.8,80.6
Park ,wyoming,20.2,77.5
Platte ,wyoming,27.2,69.7
Sheridan ,wyoming,25.4,72.2
Sublette ,wyoming,17.7,80.1
Sweetwater ,wyoming,28.5,68.2
Teton ,wyoming,54.7,42.8
Uinta ,wyoming,19.3,78.2
Washakie ,wyoming,20.3,77
Weston ,wyoming,12.7,84.9
