"","lastname","firstname","town","state","state_and_twon"
"383","Flores","Bill","Bryan","Texas","Bryan ,  Texas"
"384","Jackson Lee","Sheila","Houston","Texas","Houston ,  Texas"
"385","Neugebauer","Randy","Lubbock","Texas","Lubbock ,  Texas"
"386","Castro","Joaquin","San Antonio","Texas","San Antonio ,  Texas"
"387","Smith","Lamar","San Antonio","Texas","San Antonio ,  Texas"
"388","Olson","Pete","Sugar Land","Texas","Sugar Land ,  Texas"
"389","Hurd","Will","San Antonio","Texas","San Antonio ,  Texas"
"390","Marchant","Kenny","Coppell","Texas","Coppell ,  Texas"
"391","Williams","Roger","Austin","Texas","Austin ,  Texas"
"392","Burgess","Michael","Lewisville","Texas","Lewisville ,  Texas"
"393","Farenthold","Blake","Corpus Christi","Texas","Corpus Christi ,  Texas"
"394","Cuellar","Henry","Laredo","Texas","Laredo ,  Texas"
"395","Green","Gene","Houston","Texas","Houston ,  Texas"
"396","Johnson","Eddie","Dallas","Texas","Dallas ,  Texas"
"397","Carter","John","Round Rock","Texas","Round Rock ,  Texas"
"398","Sessions","Pete","Dallas","Texas","Dallas ,  Texas"
"399","Veasey","Marc","Fort Worth","Texas","Fort Worth ,  Texas"
"400","Vela","Filemon","Brownsville","Texas","Brownsville ,  Texas"
"401","Doggett","Lloyd","Austin","Texas","Austin ,  Texas"
"402","Babin","Brian","Woodville","Texas","Woodville ,  Texas"
"403","Bishop","Rob","Brigham City","Utah","Brigham City ,  Utah"
"404","Stewart","Chris","Farmington","Utah","Farmington ,  Utah"
"405","Chaffetz","Jason","Alpine","Utah","Alpine ,  Utah"
"406","Love","Mia","Saratoga Springs","Utah","Saratoga Springs ,  Utah"
"407","Wittman","Robert","Montross","Virginia","Montross ,  Virginia"
"408","Rigell","E.","Virginia Beach","Virginia","Virginia Beach ,  Virginia"
"409","Scott","Robert","Newport News","Virginia","Newport News ,  Virginia"
"410","Forbes","J.","Chesapeake","Virginia","Chesapeake ,  Virginia"
"411","Hurt","Robert","Chatham","Virginia","Chatham ,  Virginia"
"412","Goodlatte","Bob","Roanoke","Virginia","Roanoke ,  Virginia"
"413","Brat","Dave","Glen Allen","Virginia","Glen Allen ,  Virginia"
"414","Beyer","Donald","Alexandria","Virginia","Alexandria ,  Virginia"
"415","Griffith","H.","Salem","Virginia","Salem ,  Virginia"
"416","Comstock","Barbara","McLean","Virginia","McLean ,  Virginia"
"417","Connolly","Gerald","Fairfax","Virginia","Fairfax ,  Virginia"
"418","Plaskett","Stacey","St. Croix","Virgin Islands","St. Croix ,  Virgin Islands"
"419","Welch","Peter","Norwich","Vermont","Norwich ,  Vermont"
"420","DelBene","Suzan","Medina","Washington","Medina ,  Washington"
"421","Larsen","Rick","Everett","Washington","Everett ,  Washington"
"422","Herrera Beutler","Jaime","Camas","Washington","Camas ,  Washington"
"423","Newhouse","Dan","Sunnyside","Washington","Sunnyside ,  Washington"
"424","McMorris Rodgers","Cathy","Spokane","Washington","Spokane ,  Washington"
"425","Kilmer","Derek","Gig Harbor","Washington","Gig Harbor ,  Washington"
"426","McDermott","Jim","Seattle","Washington","Seattle ,  Washington"
"427","Reichert","David","Auburn","Washington","Auburn ,  Washington"
"428","Smith","Adam","Tacoma","Washington","Tacoma ,  Washington"
"429","Heck","Denny","Olympia","Washington","Olympia ,  Washington"
"430","Ryan","Paul","Janesville","Wisconsin","Janesville ,  Wisconsin"
"431","Pocan","Mark","Madison","Wisconsin","Madison ,  Wisconsin"
"432","Kind","Ron","La Crosse","Wisconsin","La Crosse ,  Wisconsin"
"433","Moore","Gwen","Milwaukee","Wisconsin","Milwaukee ,  Wisconsin"
"434","Sensenbrenner","F.","Menomonee Falls","Wisconsin","Menomonee Falls ,  Wisconsin"
"435","Grothman","Glenn","Campbellsport","Wisconsin","Campbellsport ,  Wisconsin"
"436","Duffy","Sean","Wausau","Wisconsin","Wausau ,  Wisconsin"
"437","Ribble","Reid","Sherwood","Wisconsin","Sherwood ,  Wisconsin"
"438","McKinley","David","Wheeling","West Virginia","Wheeling ,  West Virginia"
"439","Mooney","Alexander","Charles Town","West Virginia","Charles Town ,  West Virginia"
"440","Jenkins","Evan","Huntington","West Virginia","Huntington ,  West Virginia"
"441","Lummis","Cynthia","Cheyenne","Wyoming","Cheyenne ,  Wyoming"
