"","lastname","firstname","town","state","state_and_twon"
"94","Brown","Corrine","Jacksonville","Florida","Jacksonville ,  Florida"
"95","DeSantis","Ron","Ponte Vedra Beach","Florida","Ponte Vedra Beach ,  Florida"
"96","Mica","John","Winter Park","Florida","Winter Park ,  Florida"
"97","Posey","Bill","Rockledge","Florida","Rockledge ,  Florida"
"98","Grayson","Alan","Orlando","Florida","Orlando ,  Florida"
"99","Webster","Daniel","Orlando","Florida","Orlando ,  Florida"
"100","Nugent","Richard","Spring Hill","Florida","Spring Hill ,  Florida"
"101","Bilirakis","Gus","Palm Harbor","Florida","Palm Harbor ,  Florida"
"102","Jolly","David","Indian Shores","Florida","Indian Shores ,  Florida"
"103","Castor","Kathy","Tampa","Florida","Tampa ,  Florida"
"104","Ross","Dennis","Lakeland","Florida","Lakeland ,  Florida"
"105","Buchanan","Vern","Sarasota","Florida","Sarasota ,  Florida"
"106","Rooney","Thomas","Okeechobee","Florida","Okeechobee ,  Florida"
"107","Murphy","Patrick","Jupiter","Florida","Jupiter ,  Florida"
"108","Clawson","Curt","Bonita Springs","Florida","Bonita Springs ,  Florida"
"109","Hastings","Alcee","Miramar","Florida","Miramar ,  Florida"
"110","Deutch","Theodore","Boca Raton","Florida","Boca Raton ,  Florida"
"111","Frankel","Lois","West Palm Beach","Florida","West Palm Beach ,  Florida"
"112","Wasserman Schultz","Debbie","Weston","Florida","Weston ,  Florida"
"113","Wilson","Frederica","Miami Gardens","Florida","Miami Gardens ,  Florida"
"114","Diaz-Balart","Mario","Miami","Florida","Miami ,  Florida"
"115","Curbelo","Carlos","Miami","Florida","Miami ,  Florida"
"116","Ros-Lehtinen","Ileana","Miami","Florida","Miami ,  Florida"
"117","Carter","Earl","Pooler","Georgia","Pooler ,  Georgia"
"118","Bishop","Sanford","Albany","Georgia","Albany ,  Georgia"
"119","Westmoreland","Lynn","Grantville","Georgia","Grantville ,  Georgia"
"120","Johnson","Henry","Lithonia","Georgia","Lithonia ,  Georgia"
"121","Lewis","John","Atlanta","Georgia","Atlanta ,  Georgia"
"122","Price","Tom","Roswell","Georgia","Roswell ,  Georgia"
"123","Woodall","Rob","Lawrenceville","Georgia","Lawrenceville ,  Georgia"
"124","Scott","Austin","Tifton","Georgia","Tifton ,  Georgia"
"125","Collins","Doug","Gainesville","Georgia","Gainesville ,  Georgia"
"126","Hice","Jody","Monroe","Georgia","Monroe ,  Georgia"
"127","Loudermilk","Barry","Cassville","Georgia","Cassville ,  Georgia"
"128","Allen","Rick","Augusta","Georgia","Augusta ,  Georgia"
"129","Scott","David","Atlanta","Georgia","Atlanta ,  Georgia"
"130","Graves","Tom","Ranger","Georgia","Ranger ,  Georgia"
"131","Bordallo","Madeleine","Hagatna","Guam","Hagatna ,  Guam"
"132","","","","Hawaii"," ,  Hawaii"
"133","Gabbard","Tulsi","Kailua","Hawaii","Kailua ,  Hawaii"
"134","Blum","Rod","Dubuque","Iowa","Dubuque ,  Iowa"
"135","Loebsack","David","Iowa City","Iowa","Iowa City ,  Iowa"
"136","Young","David","Van Meter","Iowa","Van Meter ,  Iowa"
"137","King","Steve","Kiron","Iowa","Kiron ,  Iowa"
"138","Labrador","Raúl","Eagle","Idaho","Eagle ,  Idaho"
"139","Simpson","Michael","Idaho Falls","Idaho","Idaho Falls ,  Idaho"
"140","Rush","Bobby","Chicago","Illinois","Chicago ,  Illinois"
"141","Kelly","Robin","Matteson","Illinois","Matteson ,  Illinois"
"142","Lipinski","Daniel","Western Springs","Illinois","Western Springs ,  Illinois"
"143","Gutiérrez","Luis","Chicago","Illinois","Chicago ,  Illinois"
"144","Quigley","Mike","Chicago","Illinois","Chicago ,  Illinois"
"145","Roskam","Peter","Wheaton","Illinois","Wheaton ,  Illinois"
"146","Davis","Danny","Chicago","Illinois","Chicago ,  Illinois"
"147","Duckworth","Tammy","Hoffman Estates","Illinois","Hoffman Estates ,  Illinois"
